Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
M23_0,NatM_uniform_Fem_GP_1,0.351432,2,0.1,1.5,0.307758,-2.71838e-5,No_prior,NA,NA,NA,NA,NA
M23_0,L_at_Amin_Fem_GP_1,16.7267,2,-10,50,17.4318,2.80562e-6,No_prior,NA,NA,NA,NA,NA
M23_0,L_at_Amax_Fem_GP_1,113.157,2,70,145,110.473,1.21181e-5,No_prior,NA,NA,NA,NA,NA
M23_0,VonBert_K_Fem_GP_1,0.213434,2,0,1,0.203641,2.56927e-5,No_prior,NA,NA,NA,NA,NA
M23_0,CV_young_Fem_GP_1,0.2,-2,0.01,0.4,0.2,NA,No_prior,NA,NA,NA,NA,NA
M23_0,CV_old_Fem_GP_1,0.06,-2,0.01,0.2,0.06,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Wtlen_1_Fem_GP_1,5.611e-6,-1,-99,99,5.611e-6,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Wtlen_2_Fem_GP_1,3.1756,-1,-99,99,3.1756,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Mat50%_Fem_GP_1,54.9,-1,20,60,54.9,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Mat_slope_Fem_GP_1,-0.1472,-1,-2,0.5,-0.1472,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Eggs/kg_inter_Fem_GP_1,1,-1,-99,99,1,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Eggs/kg_slope_wt_Fem_GP_1,0,-1,-99,99,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,CohortGrowDev,1,-1,0.1,10,1,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm1,3,-1,-10,10,3,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm2,0,-1,-10,10,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm3,0,-1,-10,10,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm4,0,-1,-10,10,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm5,0.57,-1,-10,10,0.57,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm6,1.16,-1,-10,10,1.16,NA,No_prior,NA,NA,NA,NA,NA
M23_0,AgeKeyParm7,0,-1,-10,10,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,FracFemale_GP_1,0.5,-99,1e-6,0.999999,0.5,NA,No_prior,NA,NA,NA,NA,NA
M23_0,SR_LN(R0),10.2713,1,1,20,10.0086,7.82355e-5,No_prior,NA,NA,NA,NA,NA
M23_0,SR_BH_steep,1,-1,0,1,1,NA,No_prior,NA,NA,NA,NA,NA
M23_0,SR_sigmaR,0.636,-1,0,10,0.636,NA,No_prior,NA,NA,NA,NA,NA
M23_0,SR_regime,0,-3,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,SR_autocorr,0,-1,-99,99,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1991,0.39966,1,-5,5,0,2.32689e-6,dev,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1992,-0.314147,1,-5,5,0,6.20712e-7,dev,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1993,0.668793,1,-5,5,0,3.93905e-6,dev,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1994,0.374783,1,-5,5,0,2.06163e-6,dev,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1995,0.154396,1,-5,5,0,1.23062e-6,dev,NA,NA,NA,NA,NA
M23_0,Main_RecrDev_1996,0.631843,1,-5,5,0,1.42322e-6,dev,NA,NA,NA,NA,NA
